Transaction ID,Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
100231,2026-02-21,2026-02-21,Debit,-52.64,,REF100231,Rent Payment,Housing,Expense,34467.48,,Rent Payment transaction
100232,2026-02-22,2026-02-22,Debit,-126.12,,REF100232,Amazon,Shopping,Expense,34341.36,,Amazon transaction
100233,2026-02-23,2026-02-23,Debit,-41.15,,REF100233,Chevron,Gas,Expense,34300.21,,Chevron transaction
100234,2026-02-24,2026-02-24,Debit,-223.7,,REF100234,Starbucks,Coffee,Expense,34076.51,,Starbucks transaction
100235,2026-02-25,2026-02-25,Debit,-195.71,,REF100235,Walmart,Groceries,Expense,33880.8,,Walmart transaction
100236,2026-02-26,2026-02-26,Debit,-48.09,,REF100236,Chevron,Gas,Expense,33832.71,,Chevron transaction
100237,2026-02-27,2026-02-27,Credit,1803.91,,REF100237,Payroll,Income,Income,35636.62,,Payroll transaction
100238,2026-02-28,2026-02-28,Credit,1523.96,,REF100238,Payroll,Income,Income,37160.58,,Payroll transaction
100239,2026-03-01,2026-03-01,Debit,-116.83,,REF100239,Walmart,Groceries,Expense,37043.75,,Walmart transaction
100240,2026-03-02,2026-03-02,Debit,-168.56,,REF100240,Target,Shopping,Expense,36875.19,,Target transaction
100241,2026-03-03,2026-03-03,Credit,1974.09,,REF100241,Payroll,Income,Income,38849.28,,Payroll transaction
100242,2026-03-04,2026-03-04,Debit,-155.1,,REF100242,Target,Shopping,Expense,38694.18,,Target transaction
100243,2026-03-05,2026-03-05,Credit,1754.76,,REF100243,Payroll,Income,Income,40448.94,,Payroll transaction
100244,2026-03-06,2026-03-06,Credit,1779.69,,REF100244,Payroll,Income,Income,42228.63,,Payroll transaction
100245,2026-03-07,2026-03-07,Debit,-187.2,,REF100245,Smith's,Groceries,Expense,42041.43,,Smith's transaction
100246,2026-03-08,2026-03-08,Debit,-115.27,,REF100246,Target,Shopping,Expense,41926.16,,Target transaction
100247,2026-03-09,2026-03-09,Debit,-210.77,,REF100247,Chevron,Gas,Expense,41715.39,,Chevron transaction
100248,2026-03-10,2026-03-10,Debit,-192.62,,REF100248,Spotify,Entertainment,Expense,41522.77,,Spotify transaction
100249,2026-03-11,2026-03-11,Credit,1829.98,,REF100249,Payroll,Income,Income,43352.75,,Payroll transaction
100250,2026-03-12,2026-03-12,Debit,-72.28,,REF100250,Chevron,Gas,Expense,43280.47,,Chevron transaction
100251,2026-03-13,2026-03-13,Debit,-179.82,,REF100251,Walmart,Groceries,Expense,43100.65,,Walmart transaction
100252,2026-03-14,2026-03-14,Debit,-71.57,,REF100252,Chevron,Gas,Expense,43029.08,,Chevron transaction
100253,2026-03-15,2026-03-15,Debit,-223.79,,REF100253,Netflix,Entertainment,Expense,42805.29,,Netflix transaction
100254,2026-03-16,2026-03-16,Debit,-38.9,,REF100254,Walmart,Groceries,Expense,42766.39,,Walmart transaction
100255,2026-03-17,2026-03-17,Debit,-98.84,,REF100255,Chevron,Gas,Expense,42667.55,,Chevron transaction
100256,2026-03-18,2026-03-18,Debit,-178.07,,REF100256,Smith's,Groceries,Expense,42489.48,,Smith's transaction
100257,2026-03-19,2026-03-19,Debit,-106.64,,REF100257,Walmart,Groceries,Expense,42382.84,,Walmart transaction
100258,2026-03-20,2026-03-20,Debit,-137.94,,REF100258,Netflix,Entertainment,Expense,42244.9,,Netflix transaction
100259,2026-03-21,2026-03-21,Debit,-20.26,,REF100259,Amazon,Shopping,Expense,42224.64,,Amazon transaction
100260,2026-03-22,2026-03-22,Debit,-100.42,,REF100260,Amazon,Shopping,Expense,42124.22,,Amazon transaction
100261,2026-03-23,2026-03-23,Debit,-236.79,,REF100261,Rent Payment,Housing,Expense,41887.43,,Rent Payment transaction
100262,2026-03-24,2026-03-24,Debit,-214.9,,REF100262,Starbucks,Coffee,Expense,41672.53,,Starbucks transaction
100263,2026-03-25,2026-03-25,Debit,-98.19,,REF100263,Rent Payment,Housing,Expense,41574.34,,Rent Payment transaction
100264,2026-03-26,2026-03-26,Debit,-235.97,,REF100264,Starbucks,Coffee,Expense,41338.37,,Starbucks transaction
100265,2026-03-27,2026-03-27,Debit,-189.6,,REF100265,Spotify,Entertainment,Expense,41148.77,,Spotify transaction
100266,2026-03-28,2026-03-28,Debit,-136.86,,REF100266,Amazon,Shopping,Expense,41011.91,,Amazon transaction
100267,2026-03-29,2026-03-29,Credit,2239.83,,REF100267,Payroll,Income,Income,43251.74,,Payroll transaction
100268,2026-03-30,2026-03-30,Debit,-124.62,,REF100268,Chevron,Gas,Expense,43127.12,,Chevron transaction
100269,2026-03-31,2026-03-31,Debit,-111.78,,REF100269,Spotify,Entertainment,Expense,43015.34,,Spotify transaction
100270,2026-04-01,2026-04-01,Debit,-100.27,,REF100270,Starbucks,Coffee,Expense,42915.07,,Starbucks transaction
100271,2026-04-02,2026-04-02,Debit,-182.42,,REF100271,Amazon,Shopping,Expense,42732.65,,Amazon transaction
100272,2026-04-03,2026-04-03,Debit,-230.29,,REF100272,Target,Shopping,Expense,42502.36,,Target transaction
100273,2026-04-04,2026-04-04,Debit,-135.86,,REF100273,Rent Payment,Housing,Expense,42366.5,,Rent Payment transaction
100274,2026-04-05,2026-04-05,Debit,-150.01,,REF100274,Amazon,Shopping,Expense,42216.49,,Amazon transaction
100275,2026-04-06,2026-04-06,Debit,-25.57,,REF100275,Starbucks,Coffee,Expense,42190.92,,Starbucks transaction
100276,2026-04-07,2026-04-07,Debit,-38.25,,REF100276,Amazon,Shopping,Expense,42152.67,,Amazon transaction
100277,2026-04-08,2026-04-08,Debit,-49.52,,REF100277,Target,Shopping,Expense,42103.15,,Target transaction
100278,2026-04-09,2026-04-09,Debit,-97.88,,REF100278,Spotify,Entertainment,Expense,42005.27,,Spotify transaction
100279,2026-04-10,2026-04-10,Debit,-116.4,,REF100279,Chevron,Gas,Expense,41888.87,,Chevron transaction
100280,2026-04-11,2026-04-11,Debit,-191.5,,REF100280,Netflix,Entertainment,Expense,41697.37,,Netflix transaction
100281,2026-04-12,2026-04-12,Debit,-73.17,,REF100281,Amazon,Shopping,Expense,41624.2,,Amazon transaction
100282,2026-04-13,2026-04-13,Debit,-66.81,,REF100282,Amazon,Shopping,Expense,41557.39,,Amazon transaction
100283,2026-04-14,2026-04-14,Debit,-120.23,,REF100283,Walmart,Groceries,Expense,41437.16,,Walmart transaction
100284,2026-04-15,2026-04-15,Credit,1267.71,,REF100284,Payroll,Income,Income,42704.87,,Payroll transaction
100285,2026-04-16,2026-04-16,Debit,-59.93,,REF100285,Netflix,Entertainment,Expense,42644.94,,Netflix transaction
100286,2026-04-17,2026-04-17,Debit,-196.4,,REF100286,Walmart,Groceries,Expense,42448.54,,Walmart transaction
100287,2026-04-18,2026-04-18,Debit,-189.79,,REF100287,Starbucks,Coffee,Expense,42258.75,,Starbucks transaction
100288,2026-04-19,2026-04-19,Debit,-53.84,,REF100288,Chevron,Gas,Expense,42204.91,,Chevron transaction
100289,2026-04-20,2026-04-20,Debit,-157.23,,REF100289,Starbucks,Coffee,Expense,42047.68,,Starbucks transaction
100290,2026-04-21,2026-04-21,Debit,-35.92,,REF100290,Chevron,Gas,Expense,42011.76,,Chevron transaction
100291,2026-04-22,2026-04-22,Debit,-143.17,,REF100291,Walmart,Groceries,Expense,41868.59,,Walmart transaction
100292,2026-04-23,2026-04-23,Debit,-118.93,,REF100292,Chevron,Gas,Expense,41749.66,,Chevron transaction
100293,2026-04-24,2026-04-24,Debit,-192.89,,REF100293,Spotify,Entertainment,Expense,41556.77,,Spotify transaction
100294,2026-04-25,2026-04-25,Debit,-153.44,,REF100294,Smith's,Groceries,Expense,41403.33,,Smith's transaction
100295,2026-04-26,2026-04-26,Debit,-195.56,,REF100295,Walmart,Groceries,Expense,41207.77,,Walmart transaction
100296,2026-04-27,2026-04-27,Debit,-241.36,,REF100296,Smith's,Groceries,Expense,40966.41,,Smith's transaction
100297,2026-04-28,2026-04-28,Debit,-146.78,,REF100297,Walmart,Groceries,Expense,40819.63,,Walmart transaction
100298,2026-04-29,2026-04-29,Debit,-146.07,,REF100298,Spotify,Entertainment,Expense,40673.56,,Spotify transaction
100299,2026-04-30,2026-04-30,Debit,-102.18,,REF100299,Amazon,Shopping,Expense,40571.38,,Amazon transaction
